Education,Status,Others,Skin Color,Sex
 Some-college, Never-married, Craft-repair, White, Male
 Some-college, Married-civ-spouse, ?, White, Male
 Preschool, Married-civ-spouse, Farming-fishing, White, Male
 Some-college, Divorced, Craft-repair, White, Female
 HS-grad, Widowed, Machine-op-inspct, Black, Female
 Some-college, Never-married, Sales, White, Female
 11th, Never-married, Other-service, White, Male
 Some-college, Married-civ-spouse, Sales, White, Male
 7th-8th, Widowed, Other-service, White, Female
 HS-grad, Never-married, Craft-repair, White, Male
 Bachelors, Never-married, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Female
 Some-college, Never-married, Exec-managerial, White, Male
 HS-grad, Divorced, Adm-clerical, White, Female
 HS-grad, Never-married, Machine-op-inspct, Black, Female
 HS-grad, Never-married, Other-service, White, Female
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Never-married, ?, Black, Female
 HS-grad, Divorced, Adm-clerical, White, Female
 Some-college, Never-married, Other-service, White, Female
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Never-married, Machine-op-inspct, White, Male
 Masters, Never-married, Exec-managerial, White, Female
 Some-college, Married-civ-spouse, Handlers-cleaners, White, Male
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Never-married, Other-service, Black, Male
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 10th, Divorced, Sales, White, Female
 12th, Never-married, Sales, Black, Male
 HS-grad, Married-spouse-absent, Adm-clerical, White, Female
 Some-college, Widowed, Adm-clerical, White, Female
 Some-college, Never-married, Adm-clerical, White, Female
 10th, Married-civ-spouse, Sales, White, Male
 Masters, Never-married, Exec-managerial, White, Female
 Prof-school, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 10th, Married-civ-spouse, Transport-moving, Amer-Indian-Eskimo, Male
 Masters, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Divorced, Adm-clerical, White, Female
 Bachelors, Never-married, Adm-clerical, White, Female
 HS-grad, Divorced, Adm-clerical, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Bachelors, Married-civ-spouse, Sales, White, Male
 HS-grad, Separated, Prof-specialty, White, Female
 10th, Never-married, Prof-specialty, White, Male
 Masters, Never-married, Prof-specialty, Black, Female
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 Assoc-voc, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Divorced, Prof-specialty, White, Male
 Bachelors, Never-married, Sales, White, Male
 Masters, Never-married, Prof-specialty, White, Female
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Married-civ-spouse, Prof-specialty, White, Male
 5th-6th, Married-civ-spouse, Sales, White, Male
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 Bachelors, Married-civ-spouse, Other-service, White, Male
 HS-grad, Never-married, Sales, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 Prof-school, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Widowed, Exec-managerial, Asian-Pac-Islander, Female
 HS-grad, Divorced, Exec-managerial, White, Female
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Never-married, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male
 HS-grad, Divorced, Craft-repair, White, Male
 Bachelors, Married-civ-spouse, Craft-repair, White, Male
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 10th, Never-married, Farming-fishing, White, Male
 HS-grad, Divorced, Sales, White, Male
 HS-grad, Never-married, Tech-support, White, Female
 Some-college, Never-married, Handlers-cleaners, Amer-Indian-Eskimo, Male
 Bachelors, Separated, Other-service, Asian-Pac-Islander, Female
 HS-grad, Married-civ-spouse, Other-service, White, Male
 Assoc-acdm, Married-civ-spouse, Tech-support, Black, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 11th, Married-civ-spouse, Machine-op-inspct, White, Male
 HS-grad, Married-civ-spouse, ?, White, Male
 HS-grad, Never-married, Other-service, Black, Female
 Bachelors, Never-married, Protective-serv, White, Male
 Bachelors, Married-civ-spouse, Sales, White, Male
 Bachelors, Married-civ-spouse, Handlers-cleaners, White, Male
 Some-college, Married-civ-spouse, Sales, White, Male
 Some-college, Divorced, Adm-clerical, White, Female
 HS-grad, Never-married, Transport-moving, White, Female
 7th-8th, Married-civ-spouse, Machine-op-inspct, Other, Male
 Masters, Divorced, Exec-managerial, White, Male
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 HS-grad, Separated, ?, White, Female
 Some-college, Never-married, Sales, White, Male
 Some-college, Divorced, Adm-clerical, Black, Female
 Masters, Divorced, Prof-specialty, White, Male
 Some-college, Never-married, Sales, White, Male
 10th, Married-civ-spouse, Adm-clerical, White, Male
 Assoc-acdm, Never-married, Transport-moving, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Never-married, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Sales, White, Male
 7th-8th, Widowed, Adm-clerical, White, Female
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 Masters, Never-married, Prof-specialty, White, Male
 Bachelors, Never-married, Prof-specialty, White, Female
 Assoc-voc, Never-married, Sales, White, Male
 HS-grad, Married-civ-spouse, ?, White, Male
 Bachelors, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Divorced, Machine-op-inspct, White, Male
 HS-grad, Separated, Transport-moving, White, Male
 Some-college, Never-married, Adm-clerical, White, Male
 11th, Married-civ-spouse, Other-service, Black, Male
 11th, Never-married, ?, White, Female
 HS-grad, Divorced, Sales, White, Male
 9th, Never-married, Machine-op-inspct, Black, Female
 HS-grad, Divorced, Adm-clerical, White, Female
 Assoc-acdm, Married-civ-spouse, Protective-serv, White, Male
 Some-college, Widowed, Sales, White, Male
 Masters, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Never-married, ?, Asian-Pac-Islander, Female
 HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male
 Some-college, Divorced, Tech-support, White, Female
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 Bachelors, Divorced, Prof-specialty, White, Female
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 10th, Married-civ-spouse, Craft-repair, White, Male
 Doctorate, Married-civ-spouse, Prof-specialty, White, Male
 Assoc-acdm, Never-married, Tech-support, White, Male
 Some-college, Never-married, ?, White, Female
 HS-grad, Married-civ-spouse, Farming-fishing, White, Male
 Prof-school, Never-married, Prof-specialty, Asian-Pac-Islander, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Married-civ-spouse, Transport-moving, White, Male
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 HS-grad, Never-married, ?, Black, Female
 HS-grad, Never-married, Adm-clerical, Black, Female
 HS-grad, Married-civ-spouse, Farming-fishing, White, Male
 11th, Never-married, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Farming-fishing, White, Male
 Assoc-voc, Married-civ-spouse, Tech-support, White, Male
 Some-college, Married-civ-spouse, Sales, Asian-Pac-Islander, Male
 Bachelors, Never-married, Farming-fishing, White, Male
 HS-grad, Never-married, Adm-clerical, White, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Married-civ-spouse, Tech-support, White, Male
 HS-grad, Never-married, Handlers-cleaners, White, Male
 Bachelors, Married-civ-spouse, Sales, White, Male
 HS-grad, Married-civ-spouse, Other-service, White, Male
 11th, Separated, Other-service, Black, Female
 Assoc-voc, Divorced, Adm-clerical, White, Female
 Masters, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Separated, Other-service, White, Male
 Some-college, Married-civ-spouse, Craft-repair, Amer-Indian-Eskimo, Male
 11th, Divorced, Priv-house-serv, White, Female
 Masters, Never-married, Craft-repair, White, Female
 Some-college, Married-civ-spouse, Sales, White, Male
 Some-college, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Never-married, Other-service, White, Male
 Some-college, Never-married, Exec-managerial, White, Female
 Some-college, Divorced, Machine-op-inspct, White, Female
 7th-8th, Married-spouse-absent, Adm-clerical, White, Male
 Assoc-voc, Never-married, ?, White, Female
 HS-grad, Widowed, Sales, White, Female
 Some-college, Never-married, Sales, White, Male
 HS-grad, Never-married, Other-service, Black, Female
 Masters, Divorced, Sales, White, Female
 Some-college, Never-married, Sales, White, Male
 HS-grad, Never-married, Handlers-cleaners, White, Male
 HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Male
 Bachelors, Married-civ-spouse, Tech-support, White, Male
 Bachelors, Married-civ-spouse, Sales, White, Male
 HS-grad, Married-spouse-absent, Other-service, Black, Female
 7th-8th, Widowed, Machine-op-inspct, White, Female
 Some-college, Married-civ-spouse, Sales, White, Male
 HS-grad, Never-married, Other-service, White, Male
 Some-college, Never-married, Other-service, Black, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 Masters, Married-civ-spouse, Exec-managerial, White, Male
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Protective-serv, White, Male
 HS-grad, Widowed, Adm-clerical, White, Female
 HS-grad, Never-married, Other-service, White, Female
 9th, Never-married, Handlers-cleaners, White, Male
 Bachelors, Married-civ-spouse, Tech-support, White, Male
 Masters, Never-married, Exec-managerial, White, Female
 HS-grad, Never-married, Transport-moving, White, Male
 Some-college, Separated, Sales, White, Female
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 Some-college, Separated, Adm-clerical, Black, Male
 5th-6th, Married-civ-spouse, Farming-fishing, White, Male
 Masters, Divorced, Exec-managerial, White, Male
 HS-grad, Married-civ-spouse, Sales, White, Male
 Assoc-acdm, Divorced, Craft-repair, White, Female
 11th, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Never-married, Adm-clerical, Asian-Pac-Islander, Female
 HS-grad, Married-civ-spouse, Craft-repair, Amer-Indian-Eskimo, Male
 11th, Married-civ-spouse, Transport-moving, White, Male
 HS-grad, Never-married, Other-service, White, Female
 Some-college, Married-spouse-absent, Sales, Black, Female
 Bachelors, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male
 Assoc-acdm, Divorced, Prof-specialty, White, Female
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 Bachelors, Never-married, Sales, White, Male
 Assoc-voc, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 Doctorate, Never-married, Prof-specialty, White, Female
 Assoc-voc, Married-civ-spouse, Craft-repair, White, Male
 Prof-school, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Never-married, ?, White, Female
 HS-grad, Never-married, Machine-op-inspct, White, Male
 Assoc-acdm, Never-married, Adm-clerical, White, Male
 Bachelors, Divorced, Prof-specialty, White, Male
 HS-grad, Widowed, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Sales, White, Male
 Some-college, Separated, ?, White, Male
 12th, Never-married, Adm-clerical, Black, Male
 Masters, Never-married, Adm-clerical, White, Male
 Assoc-voc, Married-civ-spouse, Craft-repair, White, Male
 Assoc-voc, Never-married, Handlers-cleaners, White, Female
 HS-grad, Divorced, Transport-moving, White, Male
 HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male
 HS-grad, Married-civ-spouse, Farming-fishing, White, Male
 11th, Divorced, Machine-op-inspct, Black, Female
 Some-college, Married-civ-spouse, Craft-repair, Black, Male
 Some-college, Divorced, Other-service, White, Female
 Some-college, Never-married, Handlers-cleaners, White, Male
 HS-grad, Married-civ-spouse, Other-service, White, Male
 HS-grad, Married-civ-spouse, Sales, White, Male
 Bachelors, Married-civ-spouse, Sales, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Never-married, Adm-clerical, White, Female
 Some-college, Never-married, ?, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Female
 HS-grad, Married-civ-spouse, Protective-serv, White, Male
 11th, Married-civ-spouse, Adm-clerical, White, Male
 Masters, Never-married, Prof-specialty, White, Female
 HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Female
 11th, Never-married, Handlers-cleaners, White, Male
 Assoc-voc, Divorced, Tech-support, White, Female
 Assoc-voc, Never-married, Prof-specialty, Other, Female
 Assoc-acdm, Divorced, Adm-clerical, White, Female
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Never-married, Tech-support, Black, Male
 Bachelors, Married-civ-spouse, Tech-support, White, Female
 HS-grad, Never-married, Sales, White, Male
 HS-grad, Married-civ-spouse, ?, White, Male
 HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male
 HS-grad, Married-civ-spouse, Sales, White, Male
 Assoc-voc, Divorced, Sales, White, Male
 10th, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Never-married, Sales, White, Male
 Some-college, Never-married, Adm-clerical, White, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Female
 Bachelors, Never-married, Adm-clerical, White, Female
 Some-college, Never-married, Other-service, White, Female
 HS-grad, Married-civ-spouse, Other-service, White, Male
 10th, Married-civ-spouse, Machine-op-inspct, White, Male
 HS-grad, Never-married, Prof-specialty, Black, Male
 HS-grad, Never-married, Adm-clerical, White, Female
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Separated, Machine-op-inspct, Black, Female
 HS-grad, Married-civ-spouse, Other-service, White, Female
 Some-college, Never-married, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 Masters, Married-civ-spouse, Adm-clerical, White, Male
 7th-8th, Married-civ-spouse, Transport-moving, White, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 11th, Divorced, Sales, White, Male
 HS-grad, Divorced, Exec-managerial, White, Male
 Assoc-acdm, Divorced, Adm-clerical, White, Female
 9th, Separated, Other-service, White, Female
 Doctorate, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Divorced, Exec-managerial, Black, Female
 Bachelors, Never-married, Prof-specialty, White, Female
 HS-grad, Never-married, Handlers-cleaners, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Bachelors, Divorced, Sales, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 12th, Married-civ-spouse, Transport-moving, Black, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Female
 HS-grad, Married-spouse-absent, Farming-fishing, White, Male
 11th, Never-married, Other-service, Black, Male
 10th, Married-civ-spouse, Machine-op-inspct, White, Male
 Some-college, Married-civ-spouse, Prof-specialty, White, Male
 9th, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Married-civ-spouse, Adm-clerical, White, Male
 Some-college, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Divorced, Exec-managerial, White, Male
 Bachelors, Never-married, Prof-specialty, White, Female
 Prof-school, Divorced, Prof-specialty, White, Male
 Assoc-voc, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Never-married, Handlers-cleaners, Black, Male
 HS-grad, Divorced, Craft-repair, White, Male
 Bachelors, Married-civ-spouse, Sales, White, Male
 HS-grad, Never-married, Handlers-cleaners, Black, Female
 Some-college, Never-married, ?, White, Male
 HS-grad, Separated, ?, White, Female
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Never-married, Farming-fishing, White, Male
 HS-grad, Married-civ-spouse, Other-service, White, Male
 Assoc-acdm, Married-civ-spouse, Craft-repair, White, Male
 Masters, Never-married, Exec-managerial, White, Male
 Some-college, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Divorced, Transport-moving, White, Male
 Some-college, Never-married, Other-service, White, Female
 Some-college, Married-civ-spouse, Farming-fishing, White, Male
 HS-grad, Married-civ-spouse, Farming-fishing, White, Male
 Some-college, Never-married, Other-service, White, Male
 Bachelors, Widowed, Prof-specialty, White, Male
 Some-college, Never-married, Other-service, White, Male
 Some-college, Married-civ-spouse, Sales, White, Male
 HS-grad, Divorced, Other-service, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 Prof-school, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male
 HS-grad, Married-civ-spouse, Other-service, Amer-Indian-Eskimo, Male
 Bachelors, Divorced, ?, White, Female
 HS-grad, Married-civ-spouse, Other-service, White, Male
 Some-college, Never-married, Machine-op-inspct, White, Male
 HS-grad, Married-civ-spouse, Adm-clerical, White, Female
 Bachelors, Divorced, Prof-specialty, White, Female
 Bachelors, Married-civ-spouse, Sales, White, Male
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 7th-8th, Divorced, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Adm-clerical, White, Female
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Married-civ-spouse, ?, White, Male
 HS-grad, Divorced, Adm-clerical, White, Female
 Some-college, Never-married, Farming-fishing, White, Male
 Bachelors, Married-civ-spouse, Adm-clerical, White, Male
 Some-college, Divorced, Adm-clerical, White, Female
 HS-grad, Never-married, Craft-repair, White, Male
 Bachelors, Never-married, Adm-clerical, White, Female
 11th, Divorced, Priv-house-serv, Black, Female
 HS-grad, Never-married, Handlers-cleaners, White, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Never-married, Adm-clerical, White, Male
 Some-college, Never-married, Other-service, White, Female
 Some-college, Divorced, Exec-managerial, White, Female
 HS-grad, Divorced, Machine-op-inspct, Black, Female
 Some-college, Never-married, Adm-clerical, Black, Female
 HS-grad, Never-married, Farming-fishing, White, Male
 Some-college, Divorced, Adm-clerical, White, Female
 11th, Never-married, Sales, White, Male
 HS-grad, Never-married, Other-service, White, Male
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 Assoc-acdm, Never-married, Craft-repair, White, Male
 Bachelors, Married-civ-spouse, Sales, White, Male
 11th, Separated, Craft-repair, White, Female
 Bachelors, Never-married, Exec-managerial, White, Female
 Masters, Never-married, Other-service, White, Female
 11th, Never-married, Sales, White, Female
 Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Male
 Bachelors, Never-married, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Other-service, White, Female
 HS-grad, Never-married, Sales, White, Female
 7th-8th, Married-civ-spouse, Transport-moving, White, Male
 Some-college, Married-civ-spouse, Sales, White, Female
 Some-college, Married-civ-spouse, ?, White, Male
 Some-college, Divorced, Exec-managerial, Black, Female
 Some-college, Divorced, Exec-managerial, White, Female
 HS-grad, Never-married, Sales, White, Female
 10th, Widowed, Sales, White, Female
 HS-grad, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Never-married, Sales, White, Female
 HS-grad, Married-civ-spouse, Adm-clerical, Black, Female
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Divorced, Exec-managerial, Black, Female
 HS-grad, Widowed, Adm-clerical, White, Female
 HS-grad, Divorced, Prof-specialty, White, Male
 Bachelors, Never-married, Prof-specialty, White, Female
 HS-grad, Divorced, Handlers-cleaners, White, Male
 Some-college, Married-civ-spouse, Exec-managerial, White, Female
 HS-grad, Separated, Tech-support, White, Female
 Bachelors, Never-married, Prof-specialty, White, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Male
 Some-college, Never-married, Adm-clerical, White, Male
 10th, Never-married, Other-service, White, Male
 Some-college, Divorced, Exec-managerial, White, Male
 Assoc-acdm, Never-married, Sales, White, Male
 Bachelors, Married-civ-spouse, Sales, White, Male
 HS-grad, Married-civ-spouse, Other-service, White, Male
 HS-grad, Married-civ-spouse, Prof-specialty, White, Male
 11th, Divorced, Transport-moving, White, Male
 Some-college, Never-married, Other-service, White, Female
 Some-college, Divorced, Adm-clerical, Black, Female
 9th, Never-married, Handlers-cleaners, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Masters, Divorced, Prof-specialty, White, Female
 Some-college, Widowed, Adm-clerical, White, Female
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Married-civ-spouse, ?, White, Male
 Masters, Divorced, Prof-specialty, White, Female
 Some-college, Never-married, Other-service, White, Male
 12th, Never-married, Exec-managerial, White, Male
 Some-college, Separated, Adm-clerical, White, Female
 Bachelors, Married-civ-spouse, Prof-specialty, White, Female
 HS-grad, Never-married, Other-service, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Married-civ-spouse, Sales, White, Female
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 Assoc-voc, Widowed, Prof-specialty, White, Female
 HS-grad, Married-civ-spouse, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Prof-specialty, White, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Married-civ-spouse, Protective-serv, White, Male
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Divorced, Transport-moving, White, Male
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 Some-college, Never-married, Craft-repair, Asian-Pac-Islander, Male
 Some-college, Never-married, Adm-clerical, White, Female
 HS-grad, Never-married, Adm-clerical, Black, Female
 11th, Never-married, Other-service, White, Male
 Bachelors, Divorced, Sales, White, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Never-married, ?, White, Female
 Assoc-acdm, Separated, Adm-clerical, Black, Female
 Assoc-voc, Married-civ-spouse, ?, White, Male
 Some-college, Never-married, Other-service, White, Female
 Preschool, Married-civ-spouse, Farming-fishing, White, Male
 Some-college, Divorced, Sales, White, Female
 HS-grad, Never-married, Transport-moving, White, Male
 7th-8th, Divorced, Handlers-cleaners, Black, Male
 HS-grad, Married-spouse-absent, Other-service, White, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Never-married, Tech-support, White, Female
 Masters, Never-married, Exec-managerial, Asian-Pac-Islander, Male
 Assoc-voc, Married-civ-spouse, Tech-support, White, Male
 12th, Married-civ-spouse, Farming-fishing, White, Male
 10th, Never-married, Other-service, White, Male
 Bachelors, Separated, Prof-specialty, White, Female
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Never-married, ?, White, Male
 HS-grad, Never-married, Machine-op-inspct, Other, Female
 Masters, Married-civ-spouse, Exec-managerial, White, Male
 Assoc-acdm, Married-civ-spouse, Sales, White, Male
 Some-college, Separated, Protective-serv, White, Male
 HS-grad, Separated, Adm-clerical, White, Female
 11th, Married-civ-spouse, Other-service, White, Male
 Assoc-voc, Married-spouse-absent, Prof-specialty, White, Female
 Bachelors, Never-married, Prof-specialty, White, Male
 7th-8th, Divorced, Transport-moving, White, Male
 Bachelors, Never-married, Sales, White, Male
 Some-college, Never-married, Adm-clerical, White, Male
 HS-grad, Divorced, Adm-clerical, White, Female
 Prof-school, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Divorced, Adm-clerical, White, Female
 Some-college, Never-married, Prof-specialty, Black, Male
 12th, Never-married, Other-service, White, Male
 Assoc-voc, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Never-married, Sales, White, Female
 Some-college, Married-civ-spouse, ?, White, Male
 Bachelors, Married-civ-spouse, Adm-clerical, White, Male
 10th, Married-spouse-absent, Transport-moving, White, Male
 11th, Never-married, Craft-repair, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Never-married, Other-service, Amer-Indian-Eskimo, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 HS-grad, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Protective-serv, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Never-married, Adm-clerical, White, Female
 Assoc-acdm, Divorced, Prof-specialty, White, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Married-civ-spouse, Machine-op-inspct, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Male
 9th, Divorced, ?, White, Female
 Assoc-voc, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Never-married, Exec-managerial, White, Female
 Bachelors, Never-married, Other-service, White, Female
 Some-college, Never-married, Sales, Asian-Pac-Islander, Female
 Bachelors, Never-married, Prof-specialty, White, Female
 Assoc-acdm, Married-spouse-absent, Other-service, White, Female
 HS-grad, Divorced, Handlers-cleaners, Asian-Pac-Islander, Female
 HS-grad, Separated, Craft-repair, Black, Male
 Some-college, Married-civ-spouse, Tech-support, Black, Female
 Bachelors, Married-civ-spouse, Sales, White, Male
 Prof-school, Never-married, Prof-specialty, White, Male
 Bachelors, Never-married, Prof-specialty, White, Male
 Some-college, Divorced, Adm-clerical, White, Female
 7th-8th, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Never-married, Prof-specialty, Asian-Pac-Islander, Male
 Some-college, Never-married, Adm-clerical, Amer-Indian-Eskimo, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Separated, Adm-clerical, White, Female
 Some-college, Married-civ-spouse, Prof-specialty, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Married-civ-spouse, ?, White, Male
 Bachelors, Never-married, Exec-managerial, White, Male
 10th, Married-civ-spouse, Machine-op-inspct, White, Male
 HS-grad, Never-married, Sales, White, Female
 HS-grad, Never-married, Craft-repair, White, Male
 HS-grad, Never-married, Adm-clerical, White, Male
 Masters, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Divorced, Exec-managerial, White, Female
 HS-grad, Married-civ-spouse, Adm-clerical, White, Female
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Never-married, Transport-moving, White, Male
 Some-college, Divorced, ?, White, Female
 Bachelors, Married-civ-spouse, Craft-repair, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Assoc-voc, Never-married, Sales, White, Female
 Assoc-voc, Divorced, Exec-managerial, Asian-Pac-Islander, Female
 HS-grad, Never-married, Other-service, White, Female
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Never-married, Tech-support, White, Female
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 Assoc-acdm, Married-civ-spouse, Adm-clerical, Black, Male
 HS-grad, Divorced, Adm-clerical, White, Male
 HS-grad, Widowed, Machine-op-inspct, White, Male
 HS-grad, Married-civ-spouse, Sales, White, Male
 HS-grad, Married-civ-spouse, Transport-moving, Black, Male
 HS-grad, Married-civ-spouse, Sales, White, Male
